2;3;9994;988;67;
5;3;888;777;99;
6;3;888;777;99;
7;3;888;1111111;99;
8;3;888;777;99;
9;3;888;1111111;99
10;3;888;1111111;99
11;3;888;1111111;99
12;3;888;1111111;99
13;3;888;1111111;99
14;3;888;1111111;99
15;3;888;1111111;99
16;3;888;1111111;99
17;3;888;1111111;99
18;3;888;1111111;99
19;3;888;1111111;99
20;3;888;1111111;99
21;3;888;1111111;99
22;3;888;1111111;99
23;3;888;1111111;99
24;3;888;1111111;99
25;3;888;1111111;99
26;3;888;1111111;99
27;3;888;1111111;99
28;3;888;1111111;99
29;3;888;1111111;99
30;3;888;1111111;99
31;3;888;1111111;99
32;3;888;1111111;99
33;3;888;1111111;99
